3,3,2843,null,2024-08-23,963000
4,3,2100,40062,2024-08-21,1200000
3,2,1760,14362,2024-08-20,951836
1,1,808,null,2024-08-16,430000
4,3,2202,25400,2024-08-15,1295000
4,5,2550,null,2024-08-15,880000
5,6,5692,53700,2024-08-14,2585000
4,4,4169,30017,2024-08-09,1580000
2,2,1512,7819,2024-08-02,826900
4,3,2821,15063,2024-08-02,825000
5,2,1536,10049,2024-08-02,850000
4,5,3377,34129,2024-08-01,1775040
3,2.5,1690,null,2024-07-31,850000
2,4,2960,null,2024-07-31,980000
3,2,1818,30200,2024-07-30,830000
5,8,7349,32102,2024-07-29,2985000
5,4,3965,40006,2024-07-26,1400000
2,3,1697,null,2024-07-23,950000
3,2,1823,40502,2024-07-23,900000
2,3,2289,12763080,2024-07-23,950000
5,2,1536,9701,2024-07-17,710000
5,5,6000,38960,2024-07-15,2530000
3,2,1350,20255,2024-07-11,382500
5,2,2600,41134,2024-07-02,945000
4,2,2314,50860,2024-07-01,951000
3,2,1848,51649,2024-06-28,785000
2,2,1512,23000,2024-06-28,820000
4,4,4259,20643,2024-06-28,1665000
3,2,1456,8459,2024-06-28,855000
2,3,3000,null,2024-06-28,975000
2,2.5,2939,null,2024-06-28,975000
4,2,1952,21000,2024-06-26,847000
4,3,4652,40027,2024-06-25,1602000
4,2,1560,43469,2024-06-25,600000
4,3,2862,30182,2024-06-25,1495000
4,2,1612,41100,2024-06-21,700000
5,5,5004,20399,2024-06-20,1915000
4,2,1984,48621,2024-06-18,900000
2,3,2820,null,2024-06-18,785000
2,2.5,2960,null,2024-06-18,900000
3,2,1600,null,2024-06-14,638000
6,4,3577,40188,2024-06-12,1175000
4,2,2438,40001,2024-06-11,815000
5,3,2828,40332,2024-06-05,1300000
2,3,2291,null,2024-06-01,866000
2,2.5,1702,null,2024-05-31,853000
2,3,1880,null,2024-05-31,853000
4,3,2732,61855,2024-05-30,1075000
4,4,2226,17559,2024-05-24,1030000
4,2,2083,17145,2024-05-17,785000
3,3,2081,15973,2024-05-17,885000
5,3,2457,10049,2024-05-16,1077000
2,2,1210,9278,2024-05-13,410000
3,2,2258,9997,2024-05-13,850000
5,6,5290,9500,2024-05-10,1950000
5,5,4850,35719,2024-05-10,1805000
3,2,2062,15107,2024-05-06,920000
4,4,2180,30017,2024-08-23,935000
3,4,3165,null,2024-04-30,1250000
2,2,1908,null,2024-04-30,775000
3,3,2124,41182,2024-04-26,930000
4,2,2641,30026,2024-04-26,1145000
5,5,5117,14823,2024-04-24,2115000
5,4,3287,21100,2024-04-24,1493000
3,3,1790,46199,2024-04-23,979000
4,3,2500,66276,2024-04-19,1195000
1,1,809,8145,2024-04-17,385000
3,4,2661,null,2024-04-12,1055000
4,2,2286,72174,2024-04-11,1152000
2,1,1284,8145,2024-04-10,499000
4,4,4926,44509,2024-04-09,1830000
3,1,1120,20300,2024-04-08,705000
4,3,1778,41399,2024-03-29,990000
4,3,2434,40001,2024-03-27,1440000
4,4,3423,10785,2024-03-18,1700000
3,2,1906,15002,2024-03-12,725000
4,5,4968,41420,2024-03-08,1970000
2,2,1841,null,2024-03-01,875000
4,2,2670,15102,2024-03-01,917000
3,1,2280,15756,2024-02-28,675000
2,2,1360,null,2024-02-28,785000
2,2,1794,null,2024-02-28,785000
4,3,3293,15398,2024-02-22,1060000
5,3,3215,28527,2024-02-21,1375000
5,5,5549,41482,2024-02-16,1500000
4,3,2240,72348,2024-02-13,1215000
3,1,1172,32600,2024-02-01,675000
5,5,5108,40019,2024-02-01,2350000
6,5,5188,55822,2024-01-12,3000000
2,1,782,null,2023-12-29,222500
5,6,4825,18404,2023-12-28,1925000
4,4,3548,51609,2023-12-27,1450000
4,3,1968,40144,2023-12-22,909000
6,5,4269,60239,2023-12-19,1322000
4,2,2280,35650,2023-12-06,1300000
4,2,2100,17698,2023-12-05,855000
3,2,1465,13829,2023-11-30,741000
3,2,1344,20090,2023-11-27,659900
4,2,1848,30187,2023-11-27,935000
2,1,1391,19842,2023-11-21,792000
3,3,2470,18905,2023-11-20,885000
4,3,2612,34060,2023-11-17,940000
4,3,1890,40289,2023-11-15,728000
3,3,1150,16832,2023-11-13,685500
4,1.5,1662,14374,2023-11-09,685000
2,1,782,null,2023-12-29,null
4,3,3364,15934,2023-10-30,1585000
3,1,1508,16988,2023-10-16,625000
3,1,1210,10965,2023-10-12,669000
6,6,4114,108028,2024-08-14,2349000
3,1,1477,30600,2023-10-06,714900
3,2,1380,20099,2023-11-26,null
4,3,2038,34848,2023-09-22,1100000
3,4,2235,null,2023-09-22,998000
4,4,2504,null,2023-09-19,1099000
4,3.5,2552,null,2023-09-15,1130000
4,4,2894,null,2023-09-15,1130000
4,3,2524,40019,2023-09-14,1100000
2,3,2354,null,2023-09-08,850000
5,2,1496,8999,2023-08-31,815000
2,3,2683,12763080,2023-08-30,891000
5,3,3800,30087,2023-08-28,1715000
5,4,3433,40006,2023-08-25,980000
3,4,2200,null,2023-08-22,885000
2,4,2400,null,2023-08-22,885000
4,3,2400,20023,2023-08-21,1337000
3,2,1600,26158,2023-08-18,792000
5,4,4365,14884,2023-08-16,1450000
4,5,4625,40040,2023-08-15,1400000
3,2,1204,8429,2023-08-15,763000
3,2,1210,9583,2023-08-01,635000
3,3,2897,12763080,2023-07-31,1021000
3,3,2671,12763080,2023-07-31,1000000
3,2,2199,22298,2023-07-31,835000
4,2,1840,15791,2023-07-31,682500
5,2,1608,13328,2023-07-31,740000
3,3,2160,12763080,2023-07-28,1110000
3,3,2008,12763080,2023-07-28,952000
3,2,1493,22651,2023-07-28,758000
2,4,3253,null,2023-07-28,920000
4,3,3022,15028,2023-07-25,1478000
3,2,1548,15159,2023-07-24,798000
4,3,3245,40093,2023-07-21,1100000
3,2,1832,40132,2023-07-20,875000
4,2,1800,40698,2023-07-20,720000
3,2,1674,12201,2023-07-17,760800
4,5,4578,21780,2023-07-14,1950000
5,6,4812,45054,2023-07-14,2255000
4,3,2433,7749,2023-07-13,1225000
4,3,2711,20086,2023-07-13,1345000
4,4,3144,19994,2023-07-13,1015000
3,2.5,2299,null,2023-07-13,935000
4,3,3203,40816,2023-07-12,1115000
4,5,4772,24372,2023-07-12,1863000
4,4,4000,30048,2023-07-11,1500000
4,3,2330,41386,2023-07-03,1000000
2,2,1770,12763080,2023-06-30,925000
2,2,1189,null,2023-06-29,650000
4,3,2594,40097,2023-06-29,1050000
4,4,3753,42214,2023-06-29,1325000
4,2,1805,58087,2023-06-28,774900
4,4,4383,10000,2023-06-28,1685000
1,2,746,0,2023-06-28,570000
4,4,3290,40850,2023-06-22,1278000
5,6,5108,21649,2023-06-20,2250000
3,1,1263,8128,2023-06-15,600000
4,4,5127,32030,2023-06-15,1650000
3,3,2669,40027,2023-06-06,1100000
1,1,832,null,2023-06-05,450000
5,6,5500,30083,2023-06-05,2200000
5,3,4596,32670,2023-06-02,1388000
5,2,2904,15181,2023-06-02,710000
3,2,1336,9766,2023-06-02,701400
3,2,1210,9766,2023-06-02,630000
3,4,2386,12240,2023-06-01,889000
4,3,4076,17576,2023-05-31,1450000
4,4,4308,30056,2023-05-30,1540000
3,2,2199,32531,2023-05-26,750800
4,3,2420,30056,2023-05-23,906000
4,3,2392,40023,2024-08-19,1489000
4,3,3368,17427,2023-05-19,1545000
4,4,4530,41469,2023-05-18,1805000
3,3,1908,4382,2023-05-18,936000
3,2,1829,31494,2023-05-15,920000
4,5,4340,21344,2023-05-10,1777777
5,5,4940,28000,2023-05-07,1839000
3,1,1044,8686,2023-05-05,677500
3,2,1710,30000,2023-05-05,886500
3,2,1357,null,2023-05-05,655000
3,2.5,1736,null,2023-05-05,813000
3,2,1295,null,2023-05-05,655000
3,3,1711,8965,2023-05-05,813000
3,2,2355,100623,2023-05-03,1086000
4,3,2033,8712,2023-05-03,1053000
4,2,1956,30073,2023-05-03,975000
3,2,1598,15499,2023-04-28,750000
4,3,2100,40001,2023-04-27,1100000
5,5,4647,15002,2023-04-25,1780000
4,3,3040,20565,2023-04-21,1488000
5,5,5962,40019,2023-04-07,2210000
6,4,4100,3563,2023-11-08,2600
4,2,1522,15015,2023-03-31,855000
4,4,2200,null,2023-03-31,894000
3,3,1749,30056,2023-03-30,815600
3,2,1144,43094,2023-03-22,825000
4,3,2960,10018,2023-03-13,590000
4,4,2200,null,2024-08-24,null
3,2,884,10080,2023-03-13,590000
3,2,1730,6599,2023-03-10,906000
3,2,2052,30579,2023-03-10,835000
3,2,1244,5001,2023-03-09,725000
3,2,1279,14000,2023-02-24,699000
5,2,3158,21440,2023-02-16,1150000
4,2,1229,26136,2023-01-31,575000
4,4,4550,15011,2023-01-31,1520000
5,2,2148,21201,2023-01-27,740000
3,2,2200,40053,2023-01-23,705000
2,1,802,0,2023-01-13,395000
3,2,2100,null,2023-01-04,925000
2,3,1880,null,2023-01-04,772500
2,3.5,2750,null,2022-12-30,875000
3,3,1890,30256,2022-12-29,900000
2,4,2778,null,2022-12-29,875000
2,3,1880,null,2022-12-28,730000
2,2,1751,12763080,2022-12-20,830000
3,1.5,1189,null,2022-12-20,534000
3,2,1189,0,2022-12-20,534000
4,3,2592,40502,2022-12-15,1050000
5,5,4400,18003,2022-12-15,1325000
5,4,4362,19998,2022-12-15,1575000
3,2,1136,6495,2022-12-15,520000
5,4,3050,10302,2022-12-12,1375000
4,4,4322,15285,2022-12-07,1520000
2,3,2989,null,2022-12-05,799000
5,4,2764,32897,2022-11-30,1050000
3,4,2720,30357,2022-11-18,1035000
2,3,3095,12763080,2022-11-15,1051000
4,3,4112,30404,2022-11-04,1578000
5,5,4512,40075,2022-11-04,1750000
5,3,3052,40040,2022-11-04,915000
5,4,3800,30026,2022-10-31,1000000
2,3,3122,null,2022-10-31,870000
2,3,3327,null,2022-10-31,870000
5,4,2810,36800,2022-10-28,960000
4,3,2892,40075,2022-10-24,989000
5,4,3996,59241,2022-10-19,1300000
4,3,1950,19998,2022-10-17,1000000
1,2,746,0,2022-10-17,562900
5,3,3595,30491,2022-09-30,1250000
4,4,4385,31798,2022-09-29,1650000
4,3,2442,30491,2022-09-29,1157000
4,2,1924,40510,2022-09-27,760000
3,2,1709,9147,2022-09-22,685000
3,2,1494,57063,2022-09-16,790500
4,3,2865,40075,2022-09-16,1225000
4,4,4539,40075,2022-09-15,1300000
4,2,1864,10018,2022-09-15,949900
4,2,1750,40946,2022-09-13,730000
4,4,4801,40075,2022-09-13,1250000
3,2,1560,30056,2022-09-09,740000
2,2,1208,44866,2022-09-01,508000
4,3,1914,40075,2022-08-31,930000
3,2,1512,null,2022-08-30,642000
4,2,1569,10890,2022-08-30,642000
2,2.5,2966,null,2022-08-29,975600
2,3,2254,null,2022-08-29,975600
4,2,1920,15681,2022-08-26,965000
4,3,2523,80150,2022-08-24,925000
3,2,1466,14810,2022-08-23,720000
4,3,2174,40075,2022-08-22,815000
2,3,2444,null,2022-08-22,760000
2,2.5,1880,null,2022-08-22,760000
2,2,1549,5227,2022-08-17,651000
3,3.5,2995,null,2022-08-16,1300000
4,4,3452,20037,2022-08-16,1300000
4,3,2556,94960,2022-08-15,1245000
4,3,3320,57499,2022-08-15,1328000
3,2,1524,15245,2022-08-15,790000
3,2,2220,15681,2022-08-12,715000
5,4,4503,16117,2022-08-12,1750000
4,3,3044,17859,2022-08-11,1355000
4,2,1639,19166,2022-08-05,825000
4,3.5,2983,null,2022-08-05,1230000
4,4,3288,20037,2022-08-05,1230000
4,3,2702,22651,2022-08-01,1425000
1,1,547,null,2022-08-01,315000
4,3,3247,34412,2022-08-01,1543750
3,3,3359,60112,2022-07-29,1235000
4,3,2112,30491,2022-07-27,968000
3,1,1248,null,2022-07-27,635000
2,2,960,21344,2022-07-26,520000
3,1,1248,null,2022-07-26,635000
4,2,1822,16988,2022-07-22,660000
4,2,2290,16117,2022-07-19,890000
4,2.5,2042,40075,2022-07-18,900000
5,3,3119,37461,2022-07-18,1130000
3,2,1278,null,2022-07-18,700000
3,2,2206,31363,2022-07-15,810000
2,3,2750,null,2022-07-14,869500
null,2.5,2750,null,2022-07-13,870000
3,2,1544,10890,2022-07-11,680000
3,4,2297,8712,2022-07-08,910000
4,3,2800,22215,2022-07-08,1475000
3,3,1726,13068,2022-07-08,875000
2,2,2115,null,2022-07-01,258000
3,3,2054,0,2022-06-30,900000
4,3,2113,44653,2022-06-30,1000000
5,5,5089,35719,2022-06-30,2010000
4,2,1485,7405,2022-06-30,741000
3,2,1949,40075,2022-06-29,700000
8,5,4952,108900,2022-06-29,1595000
4,4,4243,20908,2022-06-29,1715000
3,3,2209,20473,2022-06-28,1000000
3,3,2400,16117,2022-06-27,907000
3,2,1160,0,2022-06-27,560000
4,2,1811,20037,2024-05-01,null
3,1,1028,30491,2023-06-05,698000
4,2,1677,7405,2022-06-23,850000
4,3,2528,33105,2022-06-22,1170000
2,2,1821,null,2022-06-22,665040
2,2,1848,null,2022-06-22,665040
3,2,2619,24829,2022-06-21,1020000
6,5,4828,42688,2022-06-16,2020000
3,1,1488,20037,2022-06-16,625000
5,6,4479,30056,2022-06-16,2100000
4,4,4072,30927,2022-06-15,1900000
5,4,3435,50529,2022-06-14,1325000
4,5,4747,70567,2022-06-14,1398000
4,3,2282,9583,2022-06-09,705000
5,3,3126,40075,2022-06-07,1500000
2,1,724,null,2022-06-03,375000
4,2,2978,40075,2022-05-26,1145000
4,2,1726,20037,2022-05-26,875000
5,2,1904,11761,2022-05-26,740000
4,4,2514,30056,2022-05-25,1065000
2,3,3352,null,2022-05-25,975000
3,3,2930,null,2022-05-25,975000
3,3,2054,31363,2022-05-24,927000
2,4,3141,null,2022-05-20,799900
4,3,2235,40075,2022-05-19,1090000
5,4,3759,44866,2022-05-18,2003000
5,4,4312,10106,2023-10-03,1738000
4,4,3434,48351,2022-05-17,1360000
4,2,1432,11761,2022-05-16,821000
4,4,3190,41382,2022-05-13,1290000
3,1,920,null,2022-05-13,440000
3,1,815,13939,2022-05-13,459000
3,1,1131,null,2022-05-13,459000
1,1,528,null,2023-11-04,null
2,2,3518,39204,2022-05-09,900000
4,4,4525,40075,2022-05-06,1918000
3,2,1934,20473,2022-05-02,672500
4,3,1924,40510,2022-04-29,950000
3,1.5,1514,24393,2022-07-16,null
2,3,1880,null,2022-04-29,830000
4,4,3720,24829,2022-04-29,1500000
2,3,2712,12763080,2022-04-28,891000
4,2,1622,12196,2022-04-20,730000
3,1,936,10018,2022-04-15,601000
5,4,4618,40510,2022-04-14,1848000
4,3,2100,22215,2022-04-14,1035000
4,3,3027,40075,2022-04-11,1135000
3,1,1830,43124,2022-04-08,780000
3,2,1132,21780,2023-12-04,2198000
4,3,2363,40510,2022-03-31,1255000
4,2,1791,40946,2022-03-31,950000
2,1,704,11325,2022-03-31,415000
4,3,2349,12632,2022-03-30,960000
2,3.5,2294,null,2022-03-18,1000000
4,4,2850,4791,2022-03-16,1005000
3,3,2970,32670,2022-03-15,941000
3,3,1733,20037,2022-03-15,920000
3,2.5,2059,null,2022-03-10,875000
3,3,3358,null,2022-03-10,875000
5,2,1553,9583,2022-03-08,725000
4,3,2185,40075,2022-03-04,985000
2,3,840,9583,2022-03-04,640000
3,3,1650,9583,2022-03-04,640000
2,2,1776,null,2022-02-28,750000
4,5,3849,30056,2022-02-28,1890000
3,4,2468,2526480,2022-02-25,864450
4,3,2384,27007,2022-02-25,930000
3,2,1600,30927,2022-02-25,800000
4,3,3428,30056,2022-02-23,1401000
2,1,802,435,2022-02-11,350000
4,4,2152,10890,2022-02-08,978000
3,1,2467,22651,2022-01-27,750000
3,2,1966,40075,2022-01-25,736000
5,5,5384,46173,2022-01-14,1800000
3,2,1467,10018,2022-01-10,621500
3,3,2628,40032,2022-01-07,890000
3,1,1143,17424,2022-01-03,625000
3,2,1523,105415,2021-12-29,755000
2,1,698,null,2021-12-29,355000
2,1,698,null,2021-12-29,355000
3,4,5350,48787,2021-12-17,1599000
4,4,3000,4791,2021-12-16,980000
5,5,4899,40075,2021-12-15,2020000
4,4,2325,45302,2021-12-10,839000
5,3,2665,40075,2021-12-09,1030000
5,2,1496,8712,2021-12-09,830000
8,4.5,3548,21344,2021-12-09,650000
4,3,1824,10890,2021-12-09,650000
4,4,2250,null,2021-12-09,830000
4,3,2064,40075,2021-12-06,720100
2,1,772,null,2021-12-03,123000
4,4,3271,40075,2021-12-02,1070000
3,2,1899,33976,2021-12-01,730000
4,4,2954,40946,2021-11-30,1109000
2,2,1454,null,2021-11-29,546500
4,4,2057,null,2024-07-18,920000
3,2,2474,16117,2022-10-24,null
3,3,2868,12763080,2021-11-22,902500
5,5,2180,30017,2024-08-06,1889000
4,4,4215,49658,2021-11-19,1710000
3,2,1886,15681,2021-11-19,622200
3,2,1189,null,2021-11-18,540000
3,3,2000,0,2021-11-16,673300
5,4,4734,12632,2021-11-12,1750000
3,3,2908,null,2021-11-05,900000
4,3,3730,60112,2021-11-05,1240070
4,3,1927,40075,2021-11-05,860000
2,2,1454,null,2021-11-04,539000
3,2,1428,20037,2021-11-03,700000
3,2,1120,4791,2021-11-03,575000
3,3,1922,39988,2021-11-02,680000
3,3,2578,40075,2021-10-28,1110000
1,1,726,null,2021-10-28,339000
4,2,1774,9147,2021-10-27,750000
2,2.5,2047,null,2021-10-27,883000
3,3,2169,161172,2021-10-27,883000
4,2,1581,56628,2021-10-25,805000
5,5,5350,40075,2021-10-20,1926000
3,4,2310,null,2021-10-20,739000
5,3,3146,32670,2021-10-15,745000
3,2,1844,10454,2021-10-15,665000
2,3,1573,null,2021-10-12,612000
3,1,1250,null,2021-10-09,522500
null,1,1376,null,2021-10-08,522500
1,1,528,null,2021-10-01,225000
4,3,2363,40946,2021-09-30,1020000
4,3,2069,40946,2021-09-30,815000
4,5,4755,40510,2021-09-30,1890000
2,3,1880,null,2021-09-30,739000
4,4,2492,40075,2021-09-29,860000
5,5,3254,40075,2021-09-28,1400000
2,2,1699,12763080,2021-09-24,637500
3,3,2456,17859,2021-09-24,850000
2,1,1293,65340,2021-09-22,660000
4,4,2900,7405,2021-09-21,1450000
5,5,5709,21344,2021-09-17,1510000
2,4,2329,null,2021-09-16,795000
2,3.5,1880,null,2021-09-16,795000
3,3,1393,40510,2021-09-09,701000
4,5,5400,15245,2021-09-08,1819000
3,3,2187,0,2021-09-08,761000
2,2.5,1880,null,2021-09-08,761000
3,2,1885,6098,2021-09-03,725000
4,4.5,4092,17859,2021-08-31,630000
5,4,5021,12632,2021-08-30,2175000
